Id,Name,Usage,Disease,Disease ID,In a panel,Evidence level,Type,Source,Source ID,Assay/Test,Pmid,Molecular type,Molecular ID,Treatment
30,Uromodulin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P27590,
31,Klotho,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,20861825,Protein,Q9Z2Y9, ischemia-reperfusion injury 
32,Heat shock-related 70 kDa protein 2,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,21204265,Protein,P14659,
33,Regenerating islet-derived protein 3-beta,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,20980976,Protein,P25031,Gentamicin-treated 
34,Gelsolin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,20980976,Protein,Q68FP1,Gentamicin-treated 
35,C-C motif chemokine 2,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Real-time polymerase chain reaction|enzyme linked immunosorbent assay (ELISA),21071523,Protein,P14844,"Intrarenal (maleate), prerenal (endotoxemia), or postrenal (ureteral obstruction) injury"
36,Haptoglobin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22573378,Protein,Q61646,
37,Heme oxygenase 1,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22440905,Protein,P14901,
38,Protein Vnn1,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22399813,Protein,Q4KLZ0,Cisplatin or gentamicin
39,"Fatty acid-binding protein, liver",DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22854644,Protein,P12710,
40,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22854644,Protein,P11672,
41,Cystatin-C,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21551085,Protein,P14841,Albumin (BSA)
42,T-cell surface glycoprotein CD8 alpha chain,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21551085,Protein,P07725,Albumin (BSA)
43,Putative uncharacterized protein,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22884913,Protein,Q3UMV5,
44,Clusterin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22581811,Protein,P05371,Cisplatin treatment
45,Neutrophil gelatinase-associated lipocalin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,22581811,Protein,P30152,Cisplatin treatment
46,Serum albumin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,22581811,Protein,P07724,Cisplatin treatment
47,Cystatin-C,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21377848,Protein,P14841,CDDP treatment
48,Hepatitis A virus cellular receptor 1 homolog,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21377848,Protein,O54947,CDDP treatment
49,Glutathione S-transferase alpha-1,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21377848,Protein,P00502,CDDP treatment
50,Beta-2-microglobulin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21377848,Protein,P07151,CDDP treatment
51,Clusterin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21377848,Protein,P05371,CDDP treatment
52,Metalloproteinase inhibitor 1,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21377848,Protein,P30120,CDDP treatment
53,Calbindin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21377848,Protein,P07171,CDDP treatment
54,Egf protein,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21377848,Protein,Q6P6T8,CDDP treatment
55,Hepatitis A virus cellular receptor 1 homolog,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,24361898,Protein,O54947,Glyphosate-based herbicide
56,Hepatitis A virus cellular receptor 1 homolog,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,23954200,Protein,O54947,Paraquat
57,Renal papillary antigen 1 [RPA-1],PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22610612,Protein,,Melamine- and cyanuric acid
58,Serine protease inhibitor 1,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,,
59,Thyroid hormone-regulated proteinase inhibitor,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,,
60,Urinary LC3 protein,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23022334,Protein,,
61,Pi- and alpha-GST ,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,24321290,Protein,,
62,Gamma-glutamyltransferase 5|Gamma-glutamyltranspeptidase 1|Gamma-glutamyltransferase 7|Inactive gamma-glutamyltranspeptidase 2|Gamma-glutamyltransferase 6|Gamma-glutamyltransferase light chain 1|Putative gamma-glutamyltranspeptidase 3,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Automated urine protein analysis,12584277,Protein,P36269|P19440|Q9UJ14|P36268|Q6P531|Q9BX51|A6NGU5,
63,"Alkaline phosphatase, tissue-nonspecific isozyme|Bone-type alkaline phosphatase|Alkaline phosphatase|Alkaline phosphatase|Alkaline phosphatase|Alkaline phosphatase|Alkaline phosphatase|Ectonucleotide pyrophosphatase/phosphodiesterase family member 3|Ectonucleotide pyrophosphatase/phosphodiesterase family member 1|Ectonucleotide pyrophosphatase/phosphodiesterase family member 7|Alkaline phosphatase, placental-like|Intestinal-type alkaline phosphatase|Alkaline phosphatase, placental type|Alkaline phosphatase, tissue-nonspecific isozyme",DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Automated urine protein analysis,12584277,Protein,B1ANL0|Q9Y447|B7Z1D1|B2R7C7|B2R6Q2|Q9UIL6|Q9UIL5|O14638|P22413|Q6UWV6|P10696|P09923|P05187|P05186,
64,Histidine biosynthesis trifunctional protein|Beta-hexosaminidase subunit beta,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Colorimetry,12584277,Protein,P07685|P07686,
65,Glutathione S-transferase P,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),12584277,Protein,P09211,
66,Glutathione S-transferase,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),12584277,Protein,Q12760,
67,Beta-2-microglobulin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,15760396,Protein,P61769,
68,Interleukin-18,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),16148039,Protein,Q14116,
69,Interleukin-18,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),16710348,Protein,Q14116,Cardiac surgery
70,Hepatitis A virus cellular receptor 1,PrognosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),17267747,Protein,Q96D42,
71,Histidine biosynthesis trifunctional protein|Beta-hexosaminidase subunit beta,PrognosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Spectrophotometry,17267747,Protein,P07685|P07686,
72,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),17678545,Protein,P80188,
73,Interleukin-18,PrognosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),17911094,Protein,Q14116,
74,Protein AMBP,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,19070948,Protein,P02760,
75,C-X-C motif chemokine 10,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),19070948,Protein,P02778,
76,Beta-2-microglobulin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,19070948,Protein,P61769,
77,Hepcidin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|liquid chromatography-mass spectrometry,19070948,Protein,P81172,
78,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),19070948,Protein,P80188,
79,Protein AMBP,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19860894,Protein,P02760,
80,Zinc-alpha-2-glycoprotein,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19860894,Protein,P25311,
81,Prostaglandin D2 synthase 21kDa,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19860894,Protein,Q5SQ09,
82,Outer dense fiber protein 2,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19860894,Protein,Q5BJF6,
83,Unconventional myosin-XVIIIa,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19860894,Protein,Q92614,
84,FLJ00123 protein,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19860894,Protein,Q8TES0,
85,Serum albumin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19860894,Protein,P02768,
86,Titin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|gel electrophoresis,19860894,Protein,Q8WZ42,
87,Netrin-1,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20620466,Protein,O95631,
88,"Fatty acid-binding protein, liver",DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA)|western blot,19940842,Protein,P07148,
89,Neutrophil gelatinase-associated lipocalin,PrognosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20453495,Protein,P80188,
90,Cystatin-C,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20450259,Protein,P01034,
91,Interleukin-18,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20173352,Protein,Q14116,Elective cardiac surgery
92,Protein O-GlcNAcase,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Colorimetry,20173352,Protein,O60502,Elective cardiac surgery
93,Neutrophil gelatinase-associated lipocalin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20173352,Protein,P80188,Elective cardiac surgery
94,Retinol-binding protein 4,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20173352,Protein,P02753,Elective cardiac surgery
95,Interleukin-6,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20942931,Protein,P05231,Cardiac surgery
96,Serum albumin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,20599305,Protein,P02768,Cardiac surgery
97,Alpha-1-acid glycoprotein 1,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|western blot,20599305,Protein,P02763,Cardiac surgery
98,Protein AMBP,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry|enzyme linked immunosorbent assay (ELISA),20599305,Protein,P02760,Cardiac surgery
99,Neutrophil gelatinase-associated lipocalin,PrognosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20978799,Protein,P80188,
100,Hepatitis A virus cellular receptor 1,PrognosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20978799,Protein,Q96D42,
101,Beta-2-microglobulin,PrognosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20978799,Protein,P61769,
102,Gamma-glutamyltranspeptidase 1,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21307838,Protein,P19440,
103,Intestinal-type alkaline phosphatase,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21307838,Protein,P09923,
104,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21307838,Protein,P80188,
105,Cystatin-C,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21307838,Protein,P01034,
106,Hepatitis A virus cellular receptor 1,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21307838,Protein,Q96D42,
107,Interleukin-18,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21307838,Protein,Q14116,
108,Neutrophil gelatinase-associated lipocalin,PrognosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21511111,Protein,P80188,
109,Neutrophil gelatinase-associated lipocalin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20650648,Protein,P80188,Cardiac surgery
110,Cystatin-C,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20650648,Protein,P01034,Cardiac surgery
111,Beta-2-microglobulin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20650648,Protein,P61769,Cardiac surgery
112,Neutrophil gelatinase-associated lipocalin,PredictiveBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21300375,Protein,P80188,Cardiopulmonary bypass
113,"Fatty acid-binding protein, liver",DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21153750,Protein,P07148,
114,Hepatitis A virus cellular receptor 1,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21272132,Protein,Q96D42,
115,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21272132,Protein,P80188,
